ID,ALIAS,FULL_NAME,CLUB,LEAGUE,NATIONALITY,OVERALL
207599,M. Keane,Michael Keane,Everton,English Premier League,England,81
205498,Jorginho,Luiz Frello Filho Jorge,Napoli,Italian Serie A,Italy,81
203747,Héctor Bellerín,Héctor Bellerín Moruno,Arsenal,English Premier League,Spain,81
203042,J. Butland,Jack Butland,Stoke City,English Premier League,England,81
202685,S. Zaza,Simone Zaza,Valencia CF,Spanish Primera División,Italy,81
202371,T. Meunier,Thomas Meunier,Paris Saint-Germain,French Ligue 1,Belgium,81
201995,Felipe Anderson,Felipe Anderson Pereira Gomes,Lazio,Italian Serie A,Brazil,81
201400,Rafinha,Rafael Alcântara,FC Barcelona,Spanish Primera División,Brazil,81
200724,Nacho Fernández,José Ignacio Fernández Iglesias,Real Madrid CF,Spanish Primera División,Spain,81
199987,J. Cillessen,Jasper Cillessen,FC Barcelona,Spanish Primera División,Netherlands,81
199564,Sergi Roberto,Sergio Roberto Carnicer,FC Barcelona,Spanish Primera División,Spain,81
199451,W. Ben Yedder,Wissam Ben Yedder,Sevilla FC,Spanish Primera División,France,81
199354,Lucas Pérez,Lucas Pérez Martínez,RC Deportivo de La Coruña,Spanish Primera División,Spain,81
199189,R. Barkley,Ross Barkley,Everton,English Premier League,England,81
198951,C. Bakambu,Cédric Bakambu,Villarreal CF,Spanish Primera División,DR Congo,81
198717,W. Zaha,Wilfried Zaha,Crystal Palace,English Premier League,Ivory Coast,81
198141,Bartra,Marc Bartra Aregall,Borussia Dortmund,German Bundesliga,Spain,81
197853,S. Aurier,Serge Aurier,Tottenham Hotspur,English Premier League,Ivory Coast,81
197655,S. Coates,Sebastián Coates,Sporting CP,Portuguese Primeira Liga,Uruguay,81
197242,G. Krychowiak,Grzegorz Krychowiak,West Bromwich Albion,English Premier League,Poland,81
195365,K. Kampl,Kevin Kampl,RB Leipzig,German Bundesliga,Slovenia,81
195086,D. Lovren,Dejan Lovren,Liverpool,English Premier League,Croatia,81
193738,Y. Belhanda,Younès Belhanda,Galatasaray SK,Turkish Süper Lig,Morocco,81
193525,Mário Fernandes,Mário Figueira Fernandes,CSKA Moscow,Russian Premier League,Russia,81
193352,R. Rodríguez,Ricardo Rodríguez,Milan,Italian Serie A,Switzerland,81
193165,J. Corona,Jesús Corona,FC Porto,Portuguese Primeira Liga,Mexico,81
192789,Mario Gaspar,Mario Gaspar Pérez Martínez,Villarreal CF,Spanish Primera División,Spain,81
192638,Marcos Alonso,Marcos Alonso Mendoza,Chelsea,English Premier League,Spain,81
192318,M. Götze,Mario Götze,Borussia Dortmund,German Bundesliga,Germany,81
190941,L. Hrádecký,Lukáš Hrádecký,Eintracht Frankfurt,German Bundesliga,Finland,81
190584,Illarramendi,Asier Illarramendi,Real Sociedad,Spanish Primera División,Spain,81
190149,De Marcos,Oscar De Marcos Arana,Athletic Club de Bilbao,Spanish Primera División,Spain,81
189881,C. Smalling,Chris Smalling,Manchester United,English Premier League,England,81
189461,J. Wilshere,Jack Wilshere,Arsenal,English Premier League,England,81
189251,S. Rudy,Sebastian Rudy,FC Bayern Munich,German Bundesliga,Germany,81
188988,M. Lanzini,Manuel Lanzini,West Ham United,English Premier League,Argentina,81
188943,K. Trapp,Kevin Trapp,Paris Saint-Germain,French Ligue 1,Germany,81
188388,R. Boudebouz,Ryad Boudebouz,Real Betis Balompié,Spanish Primera División,Algeria,81
188005,Camacho,Ignacio Camacho Barnola,VfL Wolfsburg,German Bundesliga,Spain,81
187961,Paulinho,José Paulo Bezerra M. Júnior,FC Barcelona,Spanish Primera División,Brazil,81
185431,N. Kalinić,Nikola Kalinić,Milan,Italian Serie A,Croatia,81
184942,Giuliano,Giuliano Victor de Paula,Fenerbahçe SK,Turkish Süper Lig,Brazil,81
183900,D. Perotti,Diego Perotti,Roma,Italian Serie A,Argentina,81
183498,M. Parolo,Marco Parolo,Lazio,Italian Serie A,Italy,81
183483,K. Mitroglou,Konstantinos Mitroglou,Olympique de Marseille,French Ligue 1,Greece,81
183285,M. Sakho,Mamadou Sakho,Crystal Palace,English Premier League,France,81
183280,A. Rami,Adil Rami,Olympique de Marseille,French Ligue 1,France,81
181820,S. Jovetić,Stevan Jovetić,AS Monaco,French Ligue 1,Montenegro,81
180216,S. Coleman,Séamus Coleman,Everton,English Premier League,Republic of Ireland,81
179645,S. Kjær,Simon Kjær,Sevilla FC,Spanish Primera División,Denmark,81
178086,Adán,Antonio Adán Garrido,Real Betis Balompié,Spanish Primera División,Spain,81
177326,M. Valbuena,Mathieu Valbuena,Fenerbahçe SK,Turkish Süper Lig,France,81
173426,S. Mignolet,Simon Mignolet,Liverpool,English Premier League,Belgium,81
173198,D. Astori,Davide Astori,Fiorentina,Italian Serie A,Italy,81
172175,K. Mirallas,Kevin Mirallas,Everton,English Premier League,Belgium,81
171897,A. Guardado,Andrés Guardado,Real Betis Balompié,Spanish Primera División,Mexico,81
171579,Raúl García,Raúl García Escudero,Athletic Club de Bilbao,Spanish Primera División,Spain,81
166706,M. Škrtel,Martin Škrtel,Fenerbahçe SK,Turkish Süper Lig,Slovakia,81
163705,S. Mandanda,Steve Mandanda,Olympique de Marseille,French Ligue 1,France,81
163264,T. Heaton,Tom Heaton,Burnley,English Premier League,England,81
161648,H. Ben Arfa,Hatem Ben Arfa,Paris Saint-Germain,French Ligue 1,France,81
158625,Dante,Dante Bonfim Costa Santos,OGC Nice,French Ligue 1,Brazil,81
153244,A. Gignac,André-Pierre Gignac,Tigres U.A.N.L.,Mexican Liga MX,France,81
146954,Gabi,Gabriel Fernández Arenas,Atlético Madrid,Spanish Primera División,Spain,81
142780,G. Rodríguez,Gonzalo Rodríguez,San Lorenzo de Almagro,Argentinian Superliga,Argentina,81
139997,D. Srna,Darijo Srna,Shakhtar Donetsk,Ukrainian Premier League,Croatia,81
121944,B. Schweinsteiger,Bastian Schweinsteiger,Chicago Fire Soccer Club,USA Major League Soccer,Germany,81
116494,C. Carrasso,Cédric Carrasso,Galatasaray SK,Turkish Süper Lig,France,81
110677,Moyá,Miguel Ángel Moyá Rumbo,Atlético Madrid,Spanish Primera División,Spain,81
54050,W. Rooney,Wayne Rooney,Everton,English Premier League,England,81
53612,P. Mertesacker,Per Mertesacker,Arsenal,English Premier League,Germany,81
49370,T. Motta,Thiago Motta,Paris Saint-Germain,French Ligue 1,Italy,81
49369,Fernando Torres,Fernando José Torres Sanz,Atlético Madrid,Spanish Primera División,Spain,81
9676,S. Eto'o,Samuel Eto'o,Antalyaspor,Turkish Süper Lig,Cameroon,81
223848,S. Milinković-Savić,Sergej Milinković-Savić,Lazio,Italian Serie A,Serbia,80
216393,Y. Tielemans,Youri Tielemans,AS Monaco,French Ligue 1,Belgium,80
215792,Jemerson,Jemerson de Jesus Nascimento,AS Monaco,French Ligue 1,Brazil,80
214997,A. Correa,Ángel Correa,Atlético Madrid,Spanish Primera División,Argentina,80
213296,N. Bentaleb,Nabil Bentaleb,FC Schalke 04,German Bundesliga,Algeria,80
212831,Alisson,Alisson Ramses Becker,Roma,Italian Serie A,Brazil,80
212462,Alex Telles,Alex Nicolao Telles,FC Porto,Portuguese Primeira Liga,Brazil,80
212194,J. Brandt,Julian Brandt,Bayer 04 Leverkusen,German Bundesliga,Germany,80
211748,K. Demirbay,Kerem Demirbay,TSG 1899 Hoffenheim,German Bundesliga,Germany,80
211320,D. Rugani,Daniele Rugani,Juventus,Italian Serie A,Italy,80
210896,M. Sanson,Morgan Sanson,Olympique de Marseille,French Ligue 1,France,80
210617,Samu Castillejo,Samuel Castillejo Azuaga,Villarreal CF,Spanish Primera División,Spain,80
210406,P. Zieliński,Piotr Zieliński,Napoli,Italian Serie A,Poland,80
210243,Ricardo Pereira,Ricardo D. Barbosa Pereira,FC Porto,Portuguese Primeira Liga,Portugal,80
210035,Grimaldo,Alejandro Grimaldo García,SL Benfica,Portuguese Primeira Liga,Spain,80
209297,Fred,Frederico R. de Paula Santos,Shakhtar Donetsk,Ukrainian Premier League,Brazil,80
208334,J. Hector,Jonas Hector,1. FC Köln,German Bundesliga,Germany,80
208333,E. Can,Emre Can,Liverpool,English Premier League,Germany,80
208093,Gerard Moreno,Gerard Moreno Balagueró,RCD Espanyol,Spanish Primera División,Spain,80
207993,S. Kolašinac,Sead Kolašinac,Arsenal,English Premier League,Bosnia Herzegovina,80
207439,L. Paredes,Leandro Paredes,Zenit St. Petersburg,Russian Premier League,Argentina,80
206585,Arrizabalaga,Kepa Arrizabalaga,Athletic Club de Bilbao,Spanish Primera División,Spain,80
206467,A. Pléa,Alassane Pléa,OGC Nice,French Ligue 1,France,80
206413,T. Stepanenko,Taras Stepanenko,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,80
206273,O. Shatov,Oleg Shatov,Zenit St. Petersburg,Russian Premier League,Russia,80
205976,Leo Baptistao,Leonardo Carrilho Baptistão,RCD Espanyol,Spanish Primera División,Brazil,80
205362,M. Nastasić,Matija Nastasić,FC Schalke 04,German Bundesliga,Serbia,80
205192,Denis Suárez,Denis Suárez Fernández,FC Barcelona,Spanish Primera División,Spain,80
204529,M. Batshuayi,Michy Batshuayi,Chelsea,English Premier League,Belgium,80
204082,J. Brooks,John Brooks,VfL Wolfsburg,German Bundesliga,United States,80
203890,S. Vrsaljko,Šime Vrsaljko,Atlético Madrid,Spanish Primera División,Croatia,80
203888,Eric Botteghin,Eric Fernando Botteghin,Feyenoord,Holland Eredivisie,Brazil,80
203775,L. Karius,Loris Karius,Liverpool,English Premier League,Germany,80
203486,T. Hazard,Thorgan Hazard,Borussia Mönchengladbach,German Bundesliga,Belgium,80
203280,V. Germain,Valère Germain,Olympique de Marseille,French Ligue 1,France,80
201510,L. Kurzawa,Layvin Kurzawa,Paris Saint-Germain,French Ligue 1,France,80
201454,F. Ghoulam,Faouzi Ghoulam,Napoli,Italian Serie A,Algeria,80
200647,J. Iličić,Josip Iličić,Atalanta,Italian Serie A,Slovenia,80
200610,K. Volland,Kevin Volland,Bayer 04 Leverkusen,German Bundesliga,Germany,80
199914,Allan,Allan Marques Loureiro,Napoli,Italian Serie A,Brazil,80
199827,P. Hernández,Pablo Hernández,RC Celta de Vigo,Spanish Primera División,Chile,80
199434,D. Tadić,Dušan Tadić,Southampton,English Premier League,Serbia,80
199110,L. Muriel,Luis Muriel,Sevilla FC,Spanish Primera División,Colombia,80
198950,Pablo Sarabia,Pablo Sarabia García,Sevilla FC,Spanish Primera División,Spain,80
198784,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,Liverpool,English Premier League,England,80
198118,J. Guilavogui,Josuha Guilavogui,VfL Wolfsburg,German Bundesliga,France,80
196934,O. Özyakup,Oğuzhan Özyakup,Beşiktaş JK,Turkish Süper Lig,Turkey,80
195861,Y. Rakitskyi,Yaroslav Rakitskyi,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,80
194957,P. Jones,Phil Jones,Manchester United,English Premier League,England,80
194879,Sergi Enrich,Sergi Enrich Ametller,SD Eibar,Spanish Primera División,Spain,80
194404,Neto,Norberto Murara Neto,Valencia CF,Spanish Primera División,Brazil,80
194229,Hugo Mallo,Hugo Mallo Novegil,RC Celta de Vigo,Spanish Primera División,Spain,80
193886,D. Didavi,Daniel Didavi,VfL Wolfsburg,German Bundesliga,Germany,80
193361,R. Soriano,Roberto Soriano,Villarreal CF,Spanish Primera División,Italy,80
193130,A. Schürrle,André Schürrle,Borussia Dortmund,German Bundesliga,Germany,80
193116,M. Gonalons,Maxime Gonalons,Roma,Italian Serie A,France,80
193105,A. Areola,Alphonse Areola,Paris Saint-Germain,French Ligue 1,France,80
193061,R. Pereyra,Roberto Pereyra,Watford,English Premier League,Argentina,80
192641,K. Vogt,Kevin Vogt,TSG 1899 Hoffenheim,German Bundesliga,Germany,80
192492,F. Orellana,Fabián Orellana,Valencia CF,Spanish Primera División,Chile,80
192086,A. Kokorin,Alexandr Kokorin,Zenit St. Petersburg,Russian Premier League,Russia,80
191687,Maicon,Maicon Pereira Roque,Galatasaray SK,Turkish Süper Lig,Brazil,80
190972,E. Salvio,Eduardo Salvio,SL Benfica,Portuguese Primeira Liga,Argentina,80
190815,D. Blind,Daley Blind,Manchester United,English Premier League,Netherlands,80
190813,S. El Shaarawy,Stephan El Shaarawy,Roma,Italian Serie A,Italy,80
190717,M. Antonio,Michail Antonio,West Ham United,English Premier League,England,80
190264,Iago Falqué,Iago Falqué Silva,Torino,Italian Serie A,Spain,80
189574,Iturraspe,Ander Iturraspe Derteano,Athletic Club de Bilbao,Spanish Primera División,Spain,80
189250,S. Rondón,Salomón Rondón,West Bromwich Albion,English Premier League,Venezuela,80
189156,Daniel Carriço,Daniel Filipe Martins Carriço,Sevilla FC,Spanish Primera División,Portugal,80
188802,M. Schmelzer,Marcel Schmelzer,Borussia Dortmund,German Bundesliga,Germany,80
188253,J. McCarthy,James McCarthy,Everton,English Premier League,Republic of Ireland,80
187735,A. Dzagoev,Alan Dzagoev,CSKA Moscow,Russian Premier League,Russia,80
187688,Ganso,Paulo Henrique Chagas de Lima,Sevilla FC,Spanish Primera División,Brazil,80
187491,F. Smolov,Fedor Smolov,FC Krasnodar,Russian Premier League,Russia,80
186146,D. Welbeck,Danny Welbeck,Arsenal,English Premier League,England,80
185221,Luiz Gustavo,Luiz Gustavo Dias,Olympique de Marseille,French Ligue 1,Brazil,80
185132,Mikel San José,Mikel San José Domínguez,Athletic Club de Bilbao,Spanish Primera División,Spain,80
184392,M. Darmian,Matteo Darmian,Manchester United,English Premier League,Italy,80
184190,R. Thomas,Romain Thomas,Angers SCO,French Ligue 1,France,80
184111,C. Benteke,Christian Benteke,Crystal Palace,English Premier League,Belgium,80
183909,I. Traoré,Ibrahima Traoré,Borussia Mönchengladbach,German Bundesliga,Guinea,80
182002,Sidnei,Sidnei Rechel da Silva Júnior,RC Deportivo de La Coruña,Spanish Primera División,Brazil,80
178416,J. Lens,Jeremain Lens,Beşiktaş JK,Turkish Süper Lig,Netherlands,80
178311,Eder,Eder Citadin Martins,Inter,Italian Serie A,Italy,80
177644,Kiko Casilla,Francisco Casilla Cortés,Real Madrid CF,Spanish Primera División,Spain,80
177604,Nacho Monreal,Ignacio Monreal Eraso,Arsenal,English Premier League,Spain,80
177458,S. Bender,Sven Bender,Bayer 04 Leverkusen,German Bundesliga,Germany,80
176915,A. Fernández,Augusto Fernández,Atlético Madrid,Spanish Primera División,Argentina,80
176733,M. Berg,Marcus Berg,,,Sweden,80
176376,I. Piatti,Ignacio Piatti,Montreal Impact,USA Major League Soccer,Argentina,80
176104,V. Birsa,Valter Birsa,Chievo Verona,Italian Serie A,Slovenia,80
175379,Pedro León,Pedro León Sánchez Gil,SD Eibar,Spanish Primera División,Spain,80
173909,K. Boateng,Kevin-Prince Boateng,Eintracht Frankfurt,German Bundesliga,Ghana,80
173521,Marcano,Iván Marcano Sierra,FC Porto,Portuguese Primeira Liga,Spain,80
173432,H. Moreno,Héctor Moreno,Roma,Italian Serie A,Mexico,80
173373,S. Romero,Sergio Romero,Manchester United,English Premier League,Argentina,80
173221,A. Candreva,Antonio Candreva,Inter,Italian Serie A,Italy,80
173208,D. Criscito,Domenico Criscito,Zenit St. Petersburg,Russian Premier League,Italy,80
172522,D. Wass,Daniel Wass,RC Celta de Vigo,Spanish Primera División,Denmark,80
170370,J. dos Santos,Jonathan dos Santos,LA Galaxy,USA Major League Soccer,Mexico,80
170368,E. Lamela,Erik Lamela,Tottenham Hotspur,English Premier League,Argentina,80
169705,R. Bertrand,Ryan Bertrand,Southampton,English Premier League,England,80
169195,Renato Augusto,Renato Augusto,,,Brazil,80
168530,Jardel,Jardel Nivaldo Vieira,SL Benfica,Portuguese Primeira Liga,Brazil,80
167553,V. Denisov,Vitaliy Denisov,Lokomotiv Moscow,Russian Premier League,Uzbekistan,80
167514,D. Basta,Dušan Basta,Lazio,Italian Serie A,Serbia,80
165536,G. Cabral,Gustavo Cabral,RC Celta de Vigo,Spanish Primera División,Argentina,80
165526,G. Paletta,Gabriel Paletta,Milan,Italian Serie A,Italy,80
164859,T. Walcott,Theo Walcott,Arsenal,English Premier League,England,80
164835,L. Fabiański,Łukasz Fabiański,Swansea City,English Premier League,Poland,80
163155,B. Foster,Ben Foster,West Bromwich Albion,English Premier League,England,80
162369,V. Ibišević,Vedad Ibišević,Hertha BSC Berlin,German Bundesliga,Bosnia Herzegovina,80
162329,K. El Ahmadi,Karim El Ahmadi,Feyenoord,Holland Eredivisie,Morocco,80
158232,S. Kalou,Salomon Kalou,Hertha BSC Berlin,German Bundesliga,Ivory Coast,80
157960,Manuel Fernandes,Manuel H. Tavares Fernandes,Lokomotiv Moscow,Russian Premier League,Portugal,80
156713,A. Granqvist,Andreas Granqvist,FC Krasnodar,Russian Premier League,Sweden,80
150516,L. Podolski,Lukas Podolski,Vissel Kobe,Japanese J1 League,Germany,80
146460,Javi Fuego,Javier Fuego Martínez,RCD Espanyol,Spanish Primera División,Spain,80
143587,F. Belluschi,Fernando Belluschi,San Lorenzo de Almagro,Argentinian Superliga,Argentina,80
140293,A. Mirante,Antonio Mirante,Bologna,Italian Serie A,Italy,80
139968,V. Enyeama,Vincent Enyeama,LOSC Lille,French Ligue 1,Nigeria,80
139668,F. Marchetti,Federico Marchetti,Lazio,Italian Serie A,Italy,80
138449,Kaká,Ricardo Izecson dos Santos Leite,Orlando City Soccer Club,USA Major League Soccer,Brazil,80
138412,J. Milner,James Milner,Liverpool,English Premier League,England,80
134744,A. Hutchinson,Atiba Hutchinson,Beşiktaş JK,Turkish Süper Lig,Canada,80
124635,M. Topal,Mehmet Topal,Fenerbahçe SK,Turkish Süper Lig,Turkey,80
112316,J. Mathieu,Jérémy Mathieu,Sporting CP,Portuguese Primeira Liga,France,80
111661,C. Kameni,Carlos Idriss Kameni,Fenerbahçe SK,Turkish Süper Lig,Cameroon,80
53914,P. Jagielka,Phil Jagielka,Everton,English Premier League,England,80
50542,J. Defoe,Jermain Defoe,Bournemouth,English Premier League,England,80
48717,Júlio César,Júlio César Soares Espíndola,SL Benfica,Portuguese Primeira Liga,Brazil,80
21146,M. Carrick,Michael Carrick,Manchester United,English Premier League,England,80
230977,M. Almirón,Miguel Almirón,Atlanta United FC,USA Major League Soccer,Paraguay,79
230142,Oyarzabal,Mikel Oyarzabal Ugarte,Real Sociedad,Spanish Primera División,Spain,79
227476,Soares,Francisco Soares dos Santos,FC Porto,Portuguese Primeira Liga,Brazil,79
225647,M. Campaña,Martín Campaña,Independiente,Argentinian Superliga,Uruguay,79
225018,F. Andone,Florin Andone,RC Deportivo de La Coruña,Spanish Primera División,Romania,79
224334,M. Acuña,Marcos Acuña,Sporting CP,Portuguese Primeira Liga,Argentina,79
221660,V. Lindelöf,Victor Lindelöf,Manchester United,English Premier League,Sweden,79
221130,Y. Cardinale,Yoan Cardinale,OGC Nice,French Ligue 1,France,79
220440,C. Lenglet,Clément Lenglet,Sevilla FC,Spanish Primera División,France,79
218339,M. Dahoud,Mahmoud Dahoud,Borussia Dortmund,German Bundesliga,Germany,79
216150,D. Zappacosta,Davide Zappacosta,Chelsea,English Premier League,Italy,79
215466,N. Maksimović,Nikola Maksimović,Napoli,Italian Serie A,Serbia,79
215259,E. Rigoni,Emiliano Rigoni,Zenit St. Petersburg,Russian Premier League,Argentina,79
215057,I. Marcone,Iván Marcone,Club Atlético Lanús,Argentinian Superliga,Argentina,79
213345,K. Coman,Kingsley Coman,FC Bayern Munich,German Bundesliga,France,79
213150,S. Kritsyuk,Stanislav Kritsyuk,FC Krasnodar,Russian Premier League,Russia,79
212886,W. Cyprien,Wylan Cyprien,OGC Nice,French Ligue 1,France,79
212602,Diego Llorente,Diego Javier Llorente Ríos,Real Sociedad,Spanish Primera División,Spain,79
212523,Anderson Talisca,Anderson Souza Conceição,Beşiktaş JK,Turkish Süper Lig,Brazil,79
212501,L. Dendoncker,Leander Dendoncker,RSC Anderlecht,Belgian First Division A,Belgium,79
212150,M. Meyer,Max Meyer,FC Schalke 04,German Bundesliga,Germany,79
211688,Gayà,José Luís Gayà Peña,Valencia CF,Spanish Primera División,Spain,79
211381,S. Boufal,Sofiane Boufal,Southampton,English Premier League,Morocco,79
211354,M. Benassi,Marco Benassi,Fiorentina,Italian Serie A,Italy,79
211256,N. Tagliafico,Nicolás Tagliafico,Independiente,Argentinian Superliga,Argentina,79
210864,E. Hysaj,Elseid Hysaj,Napoli,Italian Serie A,Albania,79
210514,João Cancelo,João Pedro Cavaco Cancelo,Inter,Italian Serie A,Portugal,79
210413,A. Romagnoli,Alessio Romagnoli,Milan,Italian Serie A,Italy,79
208777,Óliver Torres,Óliver Torres Muñoz,FC Porto,Portuguese Primeira Liga,Spain,79
208128,H. Çalhanoğlu,Hakan Çalhanoğlu,Milan,Italian Serie A,Turkey,79
207948,B. Traoré,Bertrand Traoré,Olympique Lyonnais,French Ligue 1,Burkina Faso,79
207441,L. Vietto,Luciano Vietto,Atlético Madrid,Spanish Primera División,Argentina,79
206511,M. Arnold,Maximilian Arnold,VfL Wolfsburg,German Bundesliga,Germany,79
206113,S. Gnabry,Serge Gnabry,TSG 1899 Hoffenheim,German Bundesliga,Germany,79
205988,L. Shaw,Luke Shaw,Manchester United,English Premier League,England,79
205923,B. Davies,Ben Davies,Tottenham Hotspur,English Premier League,Wales,79
205678,E. Višća,Edin Višća,İstanbul Başakşehir FK,Turkish Süper Lig,Bosnia Herzegovina,79
205525,Bernard,Bernard Anício Caldeira Duarte,Shakhtar Donetsk,Ukrainian Premier League,Brazil,79
205407,D. Baselli,Daniele Baselli,Torino,Italian Serie A,Italy,79
205175,A. Milik,Arkadiusz Milik,Napoli,Italian Serie A,Poland,79
205069,Bernat,Juan Bernat Velasco,FC Bayern Munich,German Bundesliga,Spain,79
204638,W. Orban,Willi Orban,RB Leipzig,German Bundesliga,Germany,79
204523,Rubén Pardo,Rubén Pardo Gutiérrez,Real Sociedad,Spanish Primera División,Spain,79
204311,K. Zouma,Kurt Zouma,Stoke City,English Premier League,France,79
204024,C. Kramer,Christoph Kramer,Borussia Mönchengladbach,German Bundesliga,Germany,79
203757,Zé Luís,José Luís Mendes Andrade,Spartak Moscow,Russian Premier League,Cape Verde,79
203574,J. Stones,John Stones,Manchester City,English Premier League,England,79
202642,Fernando,Fernando Lucas Martins,Spartak Moscow,Russian Premier League,Brazil,79
202556,M. Depay,Memphis Depay,Olympique Lyonnais,French Ligue 1,Netherlands,79
201988,F. Fernández,Federico Fernández,Swansea City,English Premier League,Argentina,79
201956,S. Sané,Salif Sané,Hannover 96,German Bundesliga,Senegal,79
201858,N. Sansone,Nicola Sansone,Villarreal CF,Spanish Primera División,Italy,79
201533,P. Ntep,Paul-Georges Ntep,VfL Wolfsburg,German Bundesliga,France,79
201377,J. Murillo,Jeison Murillo,Valencia CF,Spanish Primera División,Colombia,79
201305,Gabriel Paulista,Gabriel Armando de Abreu,Valencia CF,Spanish Primera División,Brazil,79
201262,V. Darida,Vladimír Darida,Hertha BSC Berlin,German Bundesliga,Czech Republic,79
201118,Cédric,Cédric Ricardo Alves Soares,Southampton,English Premier League,Portugal,79
201049,L. Tonelli,Lorenzo Tonelli,Napoli,Italian Serie A,Italy,79
201046,R. Saponara,Riccardo Saponara,Fiorentina,Italian Serie A,Italy,79
201042,D. Sidibé,Djibril Sidibé,AS Monaco,French Ligue 1,France,79
200641,Y. Konoplyanka,Yevhen Konoplyanka,FC Schalke 04,German Bundesliga,Ukraine,79
200458,L. Digne,Lucas Digne,FC Barcelona,Spanish Primera División,France,79
200454,Paco Alcácer,Francisco Alcácer García,FC Barcelona,Spanish Primera División,Spain,79
199977,Vicente Gómez,José Vicente Gómez Umpiérrez,UD Las Palmas,Spanish Primera División,Spain,79
199952,E. Çolak,Emre Çolak,RC Deportivo de La Coruña,Spanish Primera División,Turkey,79
199852,N. Jørgensen,Nicolai Jørgensen,Feyenoord,Holland Eredivisie,Denmark,79
199602,J. Guidetti,John Guidetti,RC Celta de Vigo,Spanish Primera División,Sweden,79
199576,Oriol Romeu,Oriol Romeu Vidal,Southampton,English Premier League,Spain,79
199561,Nolito,Manuel Agudo Durán,Sevilla FC,Spanish Primera División,Spain,79
199550,B. Martins Indi,Bruno Martins Indi,Stoke City,English Premier League,Netherlands,79
198683,M. Gabbiadini,Manolo Gabbiadini,Southampton,English Premier League,Italy,79
198077,P. Herrmann,Patrick Herrmann,Borussia Mönchengladbach,German Bundesliga,Germany,79
197948,F. Lejeune,Florian Lejeune,Newcastle United,English Premier League,France,79
195363,J. Bruma,Jeffrey Bruma,VfL Wolfsburg,German Bundesliga,Netherlands,79
194911,Adrián,Adrián San Miguel Castillo,West Ham United,English Premier League,Spain,79
194174,Keko,Sergio Gontán Gallardo,Málaga CF,Spanish Primera División,Spain,79
193887,H. Pérez,Hernán Pérez,RCD Espanyol,Spanish Primera División,Paraguay,79
193171,Jaume Costa,Jaume Vicent Costa Jordá,Villarreal CF,Spanish Primera División,Spain,79
192679,Escudero,Sergio Escudero Palomo,Sevilla FC,Spanish Primera División,Spain,79
192565,Y. Mallı,Yunus Mallı,VfL Wolfsburg,German Bundesliga,Turkey,79
191210,S. Corchia,Sébastien Corchia,Sevilla FC,Spanish Primera División,France,79
190875,J. Kucka,Juraj Kucka,Trabzonspor,Turkish Süper Lig,Slovakia,79
190778,J. Zoet,Jeroen Zoet,PSV,Holland Eredivisie,Netherlands,79
190544,A. Ljajić,Adem Ljajić,Torino,Italian Serie A,Serbia,79
190286,Canales,Sergio Canales Madrazo,Real Sociedad,Spanish Primera División,Spain,79
190243,M. Hitz,Marwin Hitz,FC Augsburg,German Bundesliga,Switzerland,79
190223,Balenziaga,Mikel Balenziaga,Athletic Club de Bilbao,Spanish Primera División,Spain,79
189963,W. Bony,Wilfried Bony,Swansea City,English Premier League,Ivory Coast,79
189575,Muniain,Iker Muniain Goñi,Athletic Club de Bilbao,Spanish Primera División,Spain,79
189433,B. Hübner,Benjamin Hübner,TSG 1899 Hoffenheim,German Bundesliga,Germany,79
189271,F. Coquelin,Francis Coquelin,Arsenal,English Premier League,France,79
189169,Jonathas,Jonathas de Jesus Maurício,Hannover 96,German Bundesliga,Brazil,79
188955,G. Bou,Gustavo Bou,Club Tijuana,Mexican Liga MX,Argentina,79
188524,V. Babacan,Volkan Babacan,İstanbul Başakşehir FK,Turkish Süper Lig,Turkey,79
188428,S. Doumbia,Seydou Doumbia,Sporting CP,Portuguese Primeira Liga,Ivory Coast,79
187457,C. Noboa,Christian Noboa,Zenit St. Petersburg,Russian Premier League,Ecuador,79
187347,I. Smolnikov,Igor Smolnikov,Zenit St. Petersburg,Russian Premier League,Russia,79
187324,Maurício,Maurício Santos Nascimento,Lazio,Italian Serie A,Brazil,79
186307,M. Fabián,Marco Fabián,Eintracht Frankfurt,German Bundesliga,Mexico,79
186148,R. Zieler,Ron-Robert Zieler,VfB Stuttgart,German Bundesliga,Germany,79
186132,D. Drinkwater,Danny Drinkwater,Chelsea,English Premier League,England,79
185103,A. Kolarov,Aleksandar Kolarov,Roma,Italian Serie A,Serbia,79
184949,Mariano,Mariano Ferreira Filho,Galatasaray SK,Turkish Süper Lig,Brazil,79
184881,S. Feghouli,Sofiane Feghouli,Galatasaray SK,Turkish Süper Lig,Algeria,79
184477,K. Papadopoulos,Kyriakos Papadopoulos,Hamburger SV,German Bundesliga,Greece,79
184069,S. Wagner,Sandro Wagner,TSG 1899 Hoffenheim,German Bundesliga,Germany,79
183899,P. Piatti,Pablo Piatti,RCD Espanyol,Spanish Primera División,Argentina,79
183893,C. Yacob,Claudio Yacob,West Bromwich Albion,English Premier League,Argentina,79
183855,A. Ogbonna,Angelo Ogbonna,West Ham United,English Premier League,Italy,79
